date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:13	20767/20767	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202015%2004:04:16%20GMT	https://wedesignthemes.com/html/redart/default/index.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/index.html	(from )
12:18:14	115/115	---MCZ	200	added ('OK')	text/plain	date:Sat,%2004%20Dec%202021%2006:48:13%20GMT	https://wedesignthemes.com/robots.txt		(from )
12:18:14	1624/1624	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2255559d40-658%22	https://wedesignthemes.com/html/redart/default/favicon.ico	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/favicon.ico	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:14	89712/89712	---MCZ	200	added ('OK')	text/css	etag:W/%22563ad4ea-195cd%22	https://wedesignthemes.com/html/redart/default/style.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/style.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:15	69498/69498	---MCZ	200	added ('OK')	text/css	etag:W/%2256370296-10f80%22	https://wedesignthemes.com/html/redart/default/css/animations.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/css/animations.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:15	56440/56440	---MCZ	200	added ('OK')	text/css	etag:W/%2256385884-fd22%22	https://wedesignthemes.com/html/redart/default/css/shortcodes.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/css/shortcodes.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:15	5282/5282	---MCZ	200	added ('OK')	text/css	etag:W/%22561f4890-16e9%22	https://wedesignthemes.com/html/redart/default/skins/red/style.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/skins/red/style.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:15	966/966	---MCZ	200	added ('OK')	text/css	etag:W/%225578e2f0-412%22	https://wedesignthemes.com/html/redart/default/css/isotope.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/css/isotope.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:15	19585/19585	---MCZ	200	added ('OK')	text/css	etag:W/%225636fda2-4c81%22	https://wedesignthemes.com/html/redart/default/css/prettyPhoto.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/css/prettyPhoto.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:16	1597/1597	---MCZ	200	added ('OK')	text/css	etag:W/%225629a126-70f%22	https://wedesignthemes.com/html/redart/default/css/pace.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/css/pace.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:16	64832/64832	---MCZ	200	added ('OK')	text/css	etag:W/%22563d4ea4-12c98%22	https://wedesignthemes.com/html/redart/default/css/responsive.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/css/responsive.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:16	14070/14070	---MCZ	200	added ('OK')	text/css	etag:W/%22563ad924-3c4e%22	https://wedesignthemes.com/html/redart/default/dark/dark.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/dark/dark.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:17	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%225530ede0-5cbb%22	https://wedesignthemes.com/html/redart/default/css/font-awesome.min.css	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/css/font-awesome.min.css	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:17	14596/14596	---MCZ	200	added ('OK')	application/javascript	etag:W/%22546e2c22-3b92%22	https://wedesignthemes.com/html/redart/default/js/modernizr.js	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/js/modernizr.js	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:18	2227/2227	---M--	200	added ('OK')	image/png	etag:%225636fb24-8b3%22	https://wedesignthemes.com/html/redart/default/images/logo.png	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/images/logo.png	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:18	9424/9424	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202015%2002:32:46%20GMT	https://wedesignthemes.com/html/redart/default/about.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/about.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:19	11754/11754	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202015%2004:04:08%20GMT	https://wedesignthemes.com/html/redart/default/gallery.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/gallery.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:19	13428/13428	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202015%2004:04:08%20GMT	https://wedesignthemes.com/html/redart/default/gallery-detail.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/gallery-detail.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:20	15418/15418	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202015%2004:04:08%20GMT	https://wedesignthemes.com/html/redart/default/gallery-detail-with-lhs.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/gallery-detail-with-lhs.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:20	15466/15466	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202015%2004:04:08%20GMT	https://wedesignthemes.com/html/redart/default/gallery-detail-with-rhs.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/gallery-detail-with-rhs.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:20	18731/18731	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202015%2001:23:12%20GMT	https://wedesignthemes.com/html/redart/default/shop.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/shop.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:21	12408/12408	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202015%2001:23:12%20GMT	https://wedesignthemes.com/html/redart/default/shop-detail.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/shop-detail.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:21	9221/9221	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202015%2001:23:12%20GMT	https://wedesignthemes.com/html/redart/default/shop-cart.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/shop-cart.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:21	20008/20008	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202015%2001:23:12%20GMT	https://wedesignthemes.com/html/redart/default/shop-checkout.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/shop-checkout.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:22	15534/15534	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202015%2001:23:12%20GMT	https://wedesignthemes.com/html/redart/default/blog.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/blog.html	(from https://wedesignthemes.com/html/redart/default/index.html)
12:18:22	17046/17046	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202015%2001:23:12%20GMT	https://wedesignthemes.com/html/redart/default/blog-detail.html	E:/My%20Web%20Sites/MOTIF/wedesignthemes.com/html/redart/default/blog-detail.html	(from https://wedesignthemes.com/html/redart/default/index.html)
